id,from_addr,to_addr,bg_id,county,state_or_territory,fullname,bg_smoke_risk,bg_pop_risk,bg_pop,place_id
2377734,1,99,060750207003,San Francisco,California,Quane St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377733,2,98,060750207003,San Francisco,California,Quane St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377732,3301,3499,060750207003,San Francisco,California,21st St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377731,3300,3498,060750207003,San Francisco,California,22nd St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377730,901,999,060750207003,San Francisco,California,Guerrero St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377729,902,998,060750207003,San Francisco,California,Guerrero St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377728,1,99,060750207003,San Francisco,California,Hill St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377727,2,98,060750207003,San Francisco,California,Hill St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377726,1,99,060750207003,San Francisco,California,Fair Oaks St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377725,2,98,060750207003,San Francisco,California,Fair Oaks St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377724,801,899,060750207003,San Francisco,California,Dolores St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377723,2,98,060750207003,San Francisco,California,Ames St,0.85667768596659992115,0.09400454391337192984,47,0667000
2377722,1000,1098,060750207003,San Francisco,California,Valencia St,0.85667768596659992115,0.09400454391337192984,47,0667000
2383635,2301,2599,060750354004,San Francisco,California,44th Ave,0.52555819458688049485,0.17109871532620410282,97,0667000
2383634,2300,2598,060750354004,San Francisco,California,44th Ave,0.52555819458688049485,0.17109871532620410282,97,0667000
2383633,2301,2599,060750354004,San Francisco,California,45th Ave,0.52555819458688049485,0.17109871532620410282,97,0667000
2383632,2300,2598,060750354004,San Francisco,California,45th Ave,0.52555819458688049485,0.17109871532620410282,97,0667000
2383631,2300,2598,060750354004,San Francisco,California,46th Ave,0.52555819458688049485,0.17109871532620410282,97,0667000
2383630,3301,3599,060750354004,San Francisco,California,Taraval St,0.52555819458688049485,0.17109871532620410282,97,0667000
2383629,3300,3598,060750354004,San Francisco,California,Taraval St,0.52555819458688049485,0.17109871532620410282,97,0667000
2383628,3200,3498,060750354004,San Francisco,California,Vicente St,0.52555819458688049485,0.17109871532620410282,97,0667000
2383627,2301,2599,060750354004,San Francisco,California,43rd Ave,0.52555819458688049485,0.17109871532620410282,97,0667000
2383626,3201,3499,060750354004,San Francisco,California,Santiago St,0.52555819458688049485,0.17109871532620410282,97,0667000
2383625,4201,4499,060750354004,San Francisco,California,Ulloa St,0.52555819458688049485,0.17109871532620410282,97,0667000
2383624,4200,4498,060750354004,San Francisco,California,Ulloa St,0.52555819458688049485,0.17109871532620410282,97,0667000
2383746,201,299,060750402003,San Francisco,California,11th Ave,0.68399278030579877044,0.17658769399807702270,67,0667000
2383745,200,298,060750402003,San Francisco,California,11th Ave,0.68399278030579877044,0.17658769399807702270,67,0667000
2383744,200,298,060750402003,San Francisco,California,Funston Ave,0.68399278030579877044,0.17658769399807702270,67,0667000
2383743,700,1248,060750402003,San Francisco,California,Clement St,0.68399278030579877044,0.17658769399807702270,67,0667000
2383742,201,299,060750402003,San Francisco,California,12th Ave,0.68399278030579877044,0.17658769399807702270,67,0667000
2383741,200,298,060750402003,San Francisco,California,12th Ave,0.68399278030579877044,0.17658769399807702270,67,0667000
2383740,201,299,060750402003,San Francisco,California,10th Ave,0.68399278030579877044,0.17658769399807702270,67,0667000
2383739,200,298,060750402003,San Francisco,California,10th Ave,0.68399278030579877044,0.17658769399807702270,67,0667000
2383738,200,298,060750402003,San Francisco,California,State Hwy 1,0.68399278030579877044,0.17658769399807702270,67,0667000
2383737,4601,5149,060750402003,San Francisco,California,California St,0.68399278030579877044,0.17658769399807702270,67,0667000
2383736,200,298,060750402003,San Francisco,California,Park Presidio Blvd,0.68399278030579877044,0.17658769399807702270,67,0667000
2383735,201,299,060750402003,San Francisco,California,9th Ave,0.68399278030579877044,0.17658769399807702270,67,0667000
2383734,200,298,060750402003,San Francisco,California,9th Ave,0.68399278030579877044,0.17658769399807702270,67,0667000
2383733,201,299,060750402003,San Francisco,California,8th Ave,0.68399278030579877044,0.17658769399807702270,67,0667000
2382685,3001,3149,060750327007,San Francisco,California,Judah St,0.33848462900421950903,0.16631444634953512856,37,0667000
2382684,2900,3148,060750327007,San Francisco,California,Judah St,0.33848462900421950903,0.16631444634953512856,37,0667000
2382683,1,99,060750327007,San Francisco,California,Pino Aly,0.33848462900421950903,0.16631444634953512856,37,0667000
2382682,2,98,060750327007,San Francisco,California,Pino Aly,0.33848462900421950903,0.16631444634953512856,37,0667000
2382681,3301,3549,060750327007,San Francisco,California,Lincoln Way,0.33848462900421950903,0.16631444634953512856,37,0667000
2382680,1201,1399,060750327007,San Francisco,California,35th Ave,0.33848462900421950903,0.16631444634953512856,37,0667000
2382679,1200,1398,060750327007,San Francisco,California,35th Ave,0.33848462900421950903,0.16631444634953512856,37,0667000
2382678,1201,1499,060750327007,San Francisco,California,Sunset Blvd,0.33848462900421950903,0.16631444634953512856,37,0667000
2382677,1201,1399,060750327007,San Francisco,California,34th Ave,0.33848462900421950903,0.16631444634953512856,37,0667000
2382676,3140,3248,060750327007,San Francisco,California,Kirkham St,0.33848462900421950903,0.16631444634953512856,37,0667000
2382675,3301,3549,060750327007,San Francisco,California,Irving St,0.33848462900421950903,0.16631444634953512856,37,0667000
2382674,3300,3548,060750327007,San Francisco,California,Irving St,0.33848462900421950903,0.16631444634953512856,37,0667000
2382673,1201,1499,060750327007,San Francisco,California,36th Ave,0.33848462900421950903,0.16631444634953512856,37,0667000
2382672,1200,1498,060750327007,San Francisco,California,36th Ave,0.33848462900421950903,0.16631444634953512856,37,0667000
2378977,1,99,060750231022,San Francisco,California,Commer Ct,0.59866445530764245529,0.19839307787391759368,119,0667000
